"","GridSize","alpha","lambda","beta","type","c","l","SpectralNorm","SpectralNormTaper","FrobNorm","FrobNormTaper"
"1",10,1,2,1,"rectangular",1,1,4.53877968610678,1.40301624457439,8.63989758154215,3.59801097661089
"2",20,1,2,1,"rectangular",1,1,10.6078488383959,0.94180955975189,19.1267507010256,6.53169185150523
"3",30,1,2,1,"rectangular",1,1,6.93741929681463,1.16669818778877,25.3531250432295,8.69187531165963
"4",40,1,2,1,"rectangular",1,1,6.18782394184753,1.42811708780745,32.3631244350342,11.2652114669283
"5",10,1,3,1,"rectangular",1,1,4.27390871534084,2.85439191226232,9.99244746709938,5.723178423532
"6",20,1,3,1,"rectangular",1,1,6.69951944839628,2.4382049641594,19.1260209650808,10.3311291669195
"7",30,1,3,1,"rectangular",1,1,11.7684851829729,2.52242072407642,29.7516953150444,16.530948794086
"8",40,1,3,1,"rectangular",1,1,18.6229612443631,2.86691114973775,48.694664558258,21.6119412903028
"9",10,1,4,1,"rectangular",1,1,4.11910426116408,4.04378197318112,9.91616592266352,7.74863073422308
"10",20,1,4,1,"rectangular",1,1,7.79627822320159,3.72023833650605,20.5799131240065,15.1610679599214
"11",30,1,4,1,"rectangular",1,1,19.5028887434374,4.0467655933656,42.7907374866998,23.5962038244265
"12",40,1,4,1,"rectangular",1,1,12.1642594917331,4.36302415011911,42.1815096178173,31.6480339655398
"13",10,1,5,1,"rectangular",1,1,3.32724975287547,4.01246239583485,8.63354159449502,8.07852250766984
"14",20,1,5,1,"rectangular",1,1,12.0321693471991,5.93628466382217,23.7854401309334,18.7023637349986
"15",30,1,5,1,"rectangular",1,1,21.2205068089758,5.99420046974925,42.2136008498356,29.0059921406485
"16",40,1,5,1,"rectangular",1,1,31.5109648125755,6.47244571457779,65.8584690484344,39.2385605570461
"17",10,1,2,1,"rectangular",1,2,4.53877968610678,1.42391116091164,8.63989758154215,4.50805894641015
"18",20,1,2,1,"rectangular",1,2,10.6078488383959,1.1950892490621,19.1267507010256,6.03904586801711
"19",30,1,2,1,"rectangular",1,2,6.93741929681463,0.776531974213351,25.3531250432295,6.69699781011702
"20",40,1,2,1,"rectangular",1,2,6.18782394184753,0.429611057007319,32.3631244350342,5.53055017636703
"21",10,1,3,1,"rectangular",1,2,4.27390871534084,2.10257139337877,9.99244746709938,6.95036810744207
"22",20,1,3,1,"rectangular",1,2,6.69951944839628,1.30337839808325,19.1260209650808,6.55953694448241
"23",30,1,3,1,"rectangular",1,2,11.7684851829729,1.64374183890461,29.7516953150444,12.0800126413929
"24",40,1,3,1,"rectangular",1,2,18.6229612443631,1.13747284326962,48.694664558258,12.239011944679
"25",10,1,4,1,"rectangular",1,2,4.11910426116408,3.55005494690328,9.91616592266352,7.62188672723614
"26",20,1,4,1,"rectangular",1,2,7.79627822320159,1.86548768458472,20.5799131240065,9.95231346649064
"27",30,1,4,1,"rectangular",1,2,19.5028887434374,2.56910892926827,42.7907374866998,17.811697833876
"28",40,1,4,1,"rectangular",1,2,12.1642594917331,2.05260140595722,42.1815096178173,21.1556242369509
"29",10,1,5,1,"rectangular",1,2,3.32724975287547,3.13433057449497,8.63354159449502,6.3136105886387
"30",20,1,5,1,"rectangular",1,2,12.0321693471991,4.72656098393454,23.7854401309334,14.0664029288194
"31",30,1,5,1,"rectangular",1,2,21.2205068089758,4.23640229268298,42.2136008498356,20.35602334384
"32",40,1,5,1,"rectangular",1,2,31.5109648125755,4.56021027822492,65.8584690484344,26.5363334788873
