"","GridSize","alpha","lambda","beta","type","SpectralNorm","SpectralNormTaper","FrobNorm","FrobNormTaper","SpectralNormSepKron","FrobNormSepKron","L1Selected","L2Selected"
"1",10,1,2,0,"rectangular",4.29024456935057,6.94341699760177,9.88877644456287,9.20894352556321,4.17126897383638,7.79991269050564,2,2
"2",20,1,2,0,"rectangular",9.27303232735526,4.93154724540114,24.8450234581101,13.2364778646445,3.59681588152221,15.4995502741337,4,3
"3",30,1,2,0,"rectangular",26.9941195838395,12.9375010862287,52.4766018990223,37.2033974903092,8.98709235443526,27.9408779853494,9,7
"4",40,1,2,0,"rectangular",25.1581891014971,3.03430524108849,64.9888298157502,17.3606400280268,3.0821405534317,17.3494737518432,5,6
"5",50,1,2,0,"rectangular",31.1837577113683,4.19457229323021,75.8091334263091,24.8738623062794,2.62112512236273,15.5427072614873,7,6
"6",60,1,2,0,"rectangular",30.1492412037547,6.98998156058534,96.6253406410131,35.3381351299013,3.25834852190425,18.5069157282079,10,6
"7",10,1,4,0,"rectangular",5.46798111351803,7.85114953783887,9.61725129763099,11.181547854298,3.07074312539439,9.01659156735033,5,5
"8",20,1,4,0,"rectangular",13.4015256936222,13.7690998481233,32.8991124294662,31.0322983243838,9.19701490828053,21.6946924023317,10,8
"9",30,1,4,0,"rectangular",42.5284494311984,19.8547292211229,80.0430250835226,41.273444221812,11.0160635136796,38.6135203097615,8,6
"10",40,1,4,0,"rectangular",63.1214246460308,37.4553810769305,114.367682841653,90.0853123065217,26.9824727618195,70.0698599306213,11,20
"11",50,1,4,0,"rectangular",50.3997514416209,27.1968661390879,134.685196714714,93.3727350524295,26.0661519433585,81.3269572707373,12,16
"12",60,1,4,0,"rectangular",66.5301021137781,33.0704050158331,160.467115765282,103.149736294728,25.1605905231171,80.3501350613329,20,15
"13",10,1,6,0,"rectangular",10.5628038664139,12.7201848897194,12.2956886495235,14.6134184592667,6.36151163492168,13.5429341898599,6,6
"14",20,1,6,0,"rectangular",19.2467574056436,19.7705771507857,37.2554043206006,38.8850583595663,10.4813395856096,24.7037390750171,11,9
"15",30,1,6,0,"rectangular",35.0063032720119,31.6448682164594,78.8146169710428,70.7024185622304,16.4340066141714,43.7060460991065,17,11
"16",40,1,6,0,"rectangular",49.9088850962429,43.7231342990462,131.880374568695,97.0200945640171,34.4063155851931,95.2229669347824,17,7
"17",50,1,6,0,"rectangular",84.8017133697137,46.54421198192,177.594372506154,99.4708066913121,25.4920564706505,101.065735909973,11,9
"18",60,1,6,0,"rectangular",142.095330285359,94.4714680193517,282.447367673326,237.186014529288,81.3517462643267,190.147451027934,36,19
"19",10,1,8,0,"rectangular",14.71640185238,16.7981584308689,15.6001341952987,18.3952568932859,12.2709321101699,21.8231334318395,6,6
"20",20,1,8,0,"rectangular",21.2118845047598,22.4952685748705,34.1262863984396,35.2529009729069,15.6665437118397,30.5885573223301,14,12
"21",30,1,8,0,"rectangular",42.2259599273688,37.8419717863882,77.1588983318644,74.7297426829289,24.1674762789728,56.4952188010519,19,16
"22",40,1,8,0,"rectangular",60.0732973166696,52.9174397208864,130.866166652106,121.14340469439,22.7692388293857,71.6287559626558,17,22
"23",50,1,8,0,"rectangular",77.5879192576253,93.2574535056921,193.079260978994,157.355497698914,59.9347576358904,117.914725015364,12,14
"24",60,1,8,0,"rectangular",99.780281246247,93.5990433003559,263.471033207234,189.310804184063,67.7342179800162,186.91216466008,14,29
"25",10,1,10,0,"rectangular",19.4219127664432,21.3052075686161,20.1274006607941,22.6285321860069,15.8375500721272,26.7454194592405,7,6
"26",20,1,10,0,"rectangular",30.0950330714097,33.1332808622186,37.7593923701999,41.0178730180221,16.9078625675568,36.7063563879171,16,12
"27",30,1,10,0,"rectangular",45.3121464525491,45.9076304033476,79.4414188151759,80.584167431318,23.3541756152554,54.334166097811,29,19
"28",40,1,10,0,"rectangular",72.9186059168885,60.248791760307,125.175182974954,121.018710229763,46.2638263894639,84.261586021111,23,20
"29",50,1,10,0,"rectangular",94.8174263556274,110.256735098933,229.701762791797,204.289479343308,76.0057677997484,187.514722241977,10,31
"30",60,1,10,0,"rectangular",181.484345242818,121.956966655493,352.170773210191,288.542288252741,90.2398980575681,211.612735973914,24,20
