"","GridSize","alpha","lambda","beta","type","c","l","SpectralNorm","SpectralNormTaper","FrobNorm","FrobNormTaper"
"61",10,1.5,2,1,"rectangular",1,3,3.96484903655073,1.8198208580133,7.78284852286831,5.19348119251379
"62",20,1.5,2,1,"rectangular",1,3,4.80247318389622,1.00209182519467,15.8738313714496,6.12457051679525
"63",30,1.5,2,1,"rectangular",1,3,9.09389707065521,1.88210872092293,25.408977151929,10.7252446156881
"64",40,1.5,2,1,"rectangular",1,3,9.01510041337595,1.27268378714631,32.7805264119336,10.3033826342071
"65",10,1.5,3,1,"rectangular",1,3,5.0875016610853,2.74891925793969,10.0754897226684,7.94600342623523
"66",20,1.5,3,1,"rectangular",1,3,7.32284094530456,1.38949115940256,18.9239791649879,6.96134213804782
"67",30,1.5,3,1,"rectangular",1,3,10.1630352016331,1.65902047259254,30.9638451256906,9.67420252016115
"68",40,1.5,3,1,"rectangular",1,3,21.9071024797957,0.920288404124026,45.7711081803802,7.98634611797335
"69",10,1.5,4,1,"rectangular",1,3,3.07931765688661,2.01289677754611,8.48010825784157,5.9099107724197
"70",20,1.5,4,1,"rectangular",1,3,15.7225986057544,2.52674234618807,27.1030233082311,10.9889216581912
"71",30,1.5,4,1,"rectangular",1,3,11.9036051275142,1.13895462047052,31.995408020377,10.0940946481524
"72",40,1.5,4,1,"rectangular",1,3,14.0730062442421,0.55448883217179,42.5188824131536,7.74338792837316
"73",10,1.5,5,1,"rectangular",1,3,4.46348813720738,2.78272970380332,9.94322031088039,8.01557341085168
"74",20,1.5,5,1,"rectangular",1,3,13.2664781864695,2.82393878076106,26.8145473204891,12.7824410614882
"75",30,1.5,5,1,"rectangular",1,3,21.880846892386,2.86521955878591,44.8448481080832,16.5083818388578
"76",40,1.5,5,1,"rectangular",1,3,13.7840906739365,0.819464786598713,44.1195225432771,9.57106559212746
"77",10,1.5,2,1,"rectangular",1,2,3.96484903655073,1.01596130553587,7.78284852286831,3.56451731869234
"78",20,1.5,2,1,"rectangular",1,2,4.80247318389622,0.828769468186654,15.8738313714496,4.49058711541511
"79",30,1.5,2,1,"rectangular",1,2,9.09389707065521,0.917736476885575,25.408977151929,8.04164569028415
"80",40,1.5,2,1,"rectangular",1,2,9.01510041337595,0.578226298926997,32.7805264119336,8.25812930887795
"81",10,1.5,3,1,"rectangular",1,2,5.0875016610853,1.87044408055049,10.0754897226684,5.91811655727012
"82",20,1.5,3,1,"rectangular",1,2,7.32284094530456,0.676163404660268,18.9239791649879,5.12596903641085
"83",30,1.5,3,1,"rectangular",1,2,10.1630352016331,0.965247727392369,30.9638451256906,7.93578620646164
"84",40,1.5,3,1,"rectangular",1,2,21.9071024797957,0.479784592848132,45.7711081803802,5.74293670445622
"85",10,1.5,4,1,"rectangular",1,2,3.07931765688661,2.15107094637166,8.48010825784157,4.99858927809403
"86",20,1.5,4,1,"rectangular",1,2,15.7225986057544,1.82884193710503,27.1030233082311,9.1223124659381
"87",30,1.5,4,1,"rectangular",1,2,11.9036051275142,0.910714866522159,31.995408020377,8.34158316928593
"88",40,1.5,4,1,"rectangular",1,2,14.0730062442421,0.654191308752877,42.5188824131536,7.57075665476492
"89",10,1.5,5,1,"rectangular",1,2,4.46348813720738,3.04437736471897,9.94322031088039,7.17366798434294
"90",20,1.5,5,1,"rectangular",1,2,13.2664781864695,1.67224561426018,26.8145473204891,9.5273382989979
"91",30,1.5,5,1,"rectangular",1,2,21.880846892386,1.93153317150345,44.8448481080832,13.7359830554917
