"","GridSize","alpha","lambda","beta","type","c","l","SpectralNorm","SpectralNormTaper","SpectralNormSepTaper"
"1",50,1,10,1,"rectangular",1,1,28.7092626462659,15.2810752710957,16.4901068162257
"2",60,1,10,1,"rectangular",1,1,65.8136639097967,16.0165618290642,17.4320033319465
"3",50,1,10,1,"rectangular",1,3,28.7092626462659,9.12712937144814,14.7501588723514
"4",60,1,10,1,"rectangular",1,3,65.8136639097967,10.5176861681926,15.8914965969005
"5",50,1,10,1,"rectangular",1,5,28.7092626462659,5.36921034364923,14.8980861469014
"6",60,1,10,1,"rectangular",1,5,65.8136639097967,8.76457798438319,16.1770238968731
"7",50,1,10,1,"rectangular",1,7,28.7092626462659,4.94280109114556,15.2257663880949
"8",60,1,10,1,"rectangular",1,7,65.8136639097967,8.05224021964873,17.4784062000836
"9",50,1,10,1,"rectangular",1,9,28.7092626462659,5.77892527922756,15.4447127486738
"10",60,1,10,1,"rectangular",1,9,65.8136639097967,9.94139303480948,18.2856050890862
"11",50,1,10,1,"rectangular",1,11,28.7092626462659,7.18811535660235,15.0135697852488
"12",60,1,10,1,"rectangular",1,11,65.8136639097967,13.709650214644,18.2988370409351
"13",50,1,12,1,"rectangular",1,1,26.3912307472218,18.7703966455453,19.992734784817
"14",60,1,12,1,"rectangular",1,1,20.5873911212749,19.4325054102243,20.6859630021095
"15",50,1,12,1,"rectangular",1,3,26.3912307472218,12.8110070770721,18.5792458302162
"16",60,1,12,1,"rectangular",1,3,20.5873911212749,13.7758935303599,19.5584460199763
"17",50,1,12,1,"rectangular",1,5,26.3912307472218,8.1015245463486,18.5174749712576
"18",60,1,12,1,"rectangular",1,5,20.5873911212749,9.84148707965914,19.8172554071148
"19",50,1,12,1,"rectangular",1,7,26.3912307472218,5.69089311825742,18.3174789669074
"20",60,1,12,1,"rectangular",1,7,20.5873911212749,7.25967302500523,19.6944982252714
"21",50,1,12,1,"rectangular",1,9,26.3912307472218,6.28790369769844,18.1905283960975
"22",60,1,12,1,"rectangular",1,9,20.5873911212749,5.58016260011431,19.9255382356244
"23",50,1,12,1,"rectangular",1,11,26.3912307472218,7.91657691554036,18.1591892708066
"24",60,1,12,1,"rectangular",1,11,20.5873911212749,7.39410443925452,19.8734740990585
"25",50,1,14,1,"rectangular",1,1,29.0953642798428,21.8570842104621,22.9113153037551
"26",60,1,14,1,"rectangular",1,1,48.5848103555614,22.8356536422655,24.0569488200445
"27",50,1,14,1,"rectangular",1,3,29.0953642798428,15.1085407719041,21.6828053356173
"28",60,1,14,1,"rectangular",1,3,48.5848103555614,16.9741928754056,23.0459476434151
"29",50,1,14,1,"rectangular",1,5,29.0953642798428,11.0600466909885,20.7674502883076
"30",60,1,14,1,"rectangular",1,5,48.5848103555614,12.4312287465521,23.2902504456049
"31",50,1,14,1,"rectangular",1,7,29.0953642798428,9.63988240305425,20.559110973857
"32",60,1,14,1,"rectangular",1,7,48.5848103555614,11.9197875904277,22.8599492459993
"33",50,1,14,1,"rectangular",1,9,29.0953642798428,11.5026705952515,20.726826101408
"34",60,1,14,1,"rectangular",1,9,48.5848103555614,12.4329740975766,22.6135732309478
"35",50,1,14,1,"rectangular",1,11,29.0953642798428,13.2255064353994,20.84592264636
"36",60,1,14,1,"rectangular",1,11,48.5848103555614,13.6590358480275,23.2891185678943
"37",50,1,16,1,"rectangular",1,1,31.11711308012,24.6460420314435,25.7246305738739
"38",60,1,16,1,"rectangular",1,1,49.8985889450873,25.7200309273151,27.0167123817959
"39",50,1,16,1,"rectangular",1,3,31.11711308012,18.6462041810924,24.3640766878813
"40",60,1,16,1,"rectangular",1,3,49.8985889450873,18.7401990661926,24.4848963177232
"41",50,1,16,1,"rectangular",1,5,31.11711308012,13.983692301261,25.2977513865003
"42",60,1,16,1,"rectangular",1,5,49.8985889450873,14.4598355400287,25.1678459019988
"43",50,1,16,1,"rectangular",1,7,31.11711308012,11.9767547831645,25.1690872388415
"44",60,1,16,1,"rectangular",1,7,49.8985889450873,12.3075699745643,26.0713486203653
"45",50,1,16,1,"rectangular",1,9,31.11711308012,11.9945697642459,24.4177200558284
"46",60,1,16,1,"rectangular",1,9,49.8985889450873,10.8736505419277,25.7921594272552
"47",50,1,16,1,"rectangular",1,11,31.11711308012,12.7243470255284,24.8951638221569
"48",60,1,16,1,"rectangular",1,11,49.8985889450873,12.653343186422,25.9326131041582
"49",50,1,18,1,"rectangular",1,1,69.3381585137795,27.3476076993492,28.3461463304647
"50",60,1,18,1,"rectangular",1,1,72.1689465638225,28.9947072043388,30.2510985810511
"51",50,1,18,1,"rectangular",1,3,69.3381585137795,18.0892168245546,25.3381183846771
"52",60,1,18,1,"rectangular",1,3,72.1689465638225,22.047028389562,28.7077534681017
"53",50,1,18,1,"rectangular",1,5,69.3381585137795,15.1733029088515,23.6392159014556
"54",60,1,18,1,"rectangular",1,5,72.1689465638225,16.4502876488933,28.288433370099
"55",50,1,18,1,"rectangular",1,7,69.3381585137795,19.056987420258,24.5853784039331
"56",60,1,18,1,"rectangular",1,7,72.1689465638225,15.0229340031416,27.7552373504389
"57",50,1,18,1,"rectangular",1,9,69.3381585137795,22.5624023989549,25.6281159578175
"58",60,1,18,1,"rectangular",1,9,72.1689465638225,15.8193928040064,28.1234818125309
"59",50,1,18,1,"rectangular",1,11,69.3381585137795,25.4671870250527,26.1037749015494
"60",60,1,18,1,"rectangular",1,11,72.1689465638225,17.5488829296922,28.5801361941307
"61",50,1,20,1,"rectangular",1,1,20.8311769628501,30.1442081261019,30.9847519305281
"62",60,1,20,1,"rectangular",1,1,66.5960425718414,31.7510349944104,32.9012606421751
"63",50,1,20,1,"rectangular",1,3,20.8311769628501,24.8246224690837,30.8674739653464
"64",60,1,20,1,"rectangular",1,3,66.5960425718414,25.1139169097084,31.3746491457295
"65",50,1,20,1,"rectangular",1,5,20.8311769628501,20.5522169379224,31.2007075515787
"66",60,1,20,1,"rectangular",1,5,66.5960425718414,19.3917836892704,31.8279866234983
