"","GridSize","alpha","lambda","beta","type","c","l","SpectralNorm","SpectralNormTaper","SpectralNormSepTaper"
"1",10,1,2,0,"rectangular",1,13,4.29024456935057,4.29024456935057,2.43554410960536
"2",20,1,2,0,"rectangular",1,13,9.27303232735526,8.47453231651108,6.04104927301499
"3",30,1,2,0,"rectangular",1,13,26.9941195838395,18.0858574774631,9.58900333005631
"4",40,1,2,0,"rectangular",1,13,25.1581891014971,14.4489660088918,4.9142026575314
"5",50,1,2,0,"rectangular",1,13,31.1837577113683,15.0251715897495,6.11645897697997
"6",60,1,2,0,"rectangular",1,13,30.1492412037547,13.1157663360426,5.37843317172006
"7",10,1,2,0,"rectangular",1,15,4.29024456935057,4.29024456935057,2.43554410960536
"8",20,1,2,0,"rectangular",1,15,9.27303232735526,8.96389645162255,6.38850767956042
"9",30,1,2,0,"rectangular",1,15,26.9941195838395,20.4958470377077,9.87821949721348
"10",40,1,2,0,"rectangular",1,15,25.1581891014971,14.7599601750576,4.96158563232117
"11",50,1,2,0,"rectangular",1,15,31.1837577113683,17.7948421198716,5.59615839361243
"12",60,1,2,0,"rectangular",1,15,30.1492412037547,16.6580892426221,6.05107989662866
"13",10,1,2,0,"rectangular",1,17,4.29024456935057,4.29024456935057,2.43554410960536
"14",20,1,2,0,"rectangular",1,17,9.27303232735526,9.1987547759234,6.60837255112444
"15",30,1,2,0,"rectangular",1,17,26.9941195838395,22.791219400656,10.1298500454863
"16",40,1,2,0,"rectangular",1,17,25.1581891014971,15.7113613631339,6.06417476910084
"17",50,1,2,0,"rectangular",1,17,31.1837577113683,19.7059602149625,6.30926628596224
"18",60,1,2,0,"rectangular",1,17,30.1492412037547,19.321382915345,7.02819348744368
"19",10,1,2,0,"rectangular",1,19,4.29024456935057,4.29024456935057,2.43554410960536
"20",20,1,2,0,"rectangular",1,19,9.27303232735526,9.27303232735526,6.66979763049682
"21",30,1,2,0,"rectangular",1,19,26.9941195838395,24.6547194668603,10.79947566545
"22",40,1,2,0,"rectangular",1,19,25.1581891014971,18.4075556950154,7.81992748972147
"23",50,1,2,0,"rectangular",1,19,31.1837577113683,20.4103700151716,7.15171891793959
"24",60,1,2,0,"rectangular",1,19,30.1492412037547,20.4662094453809,6.86314821994579
"25",10,1,2,0,"rectangular",1,21,4.29024456935057,4.29024456935057,2.43554410960536
"26",20,1,2,0,"rectangular",1,21,9.27303232735526,9.27303232735526,6.66979763049682
"27",30,1,2,0,"rectangular",1,21,26.9941195838395,25.8475035328637,11.4728542393262
"28",40,1,2,0,"rectangular",1,21,25.1581891014971,19.2493385763324,8.77195555153423
"29",50,1,2,0,"rectangular",1,21,31.1837577113683,21.3968936155019,8.00640260715914
"30",60,1,2,0,"rectangular",1,21,30.1492412037547,20.5324937247872,6.30418154128006
"31",10,1,4,0,"rectangular",1,13,5.46798111351803,5.46798111351803,2.44174935638203
"32",20,1,4,0,"rectangular",1,13,13.4015256936222,13.3070955299855,10.5874721026937
"33",30,1,4,0,"rectangular",1,13,42.5284494311984,26.5861810975009,15.5004320778711
"34",40,1,4,0,"rectangular",1,13,63.1214246460308,30.1241462031916,22.4820269953467
"35",50,1,4,0,"rectangular",1,13,50.3997514416209,25.7173332591533,23.0127832599464
"36",60,1,4,0,"rectangular",1,13,66.5301021137781,19.536244746921,15.8070563833159
"37",10,1,4,0,"rectangular",1,15,5.46798111351803,5.46798111351803,2.44174935638203
"38",20,1,4,0,"rectangular",1,15,13.4015256936222,13.6298376946051,10.7697917266688
"39",30,1,4,0,"rectangular",1,15,42.5284494311984,31.6885655292923,17.0252806592321
"40",40,1,4,0,"rectangular",1,15,63.1214246460308,36.7508998407107,22.5266409322789
"41",50,1,4,0,"rectangular",1,15,50.3997514416209,28.3387546234676,26.3624679215077
"42",60,1,4,0,"rectangular",1,15,66.5301021137781,27.2114240278868,19.9362382328499
"43",10,1,4,0,"rectangular",1,17,5.46798111351803,5.46798111351803,2.44174935638203
"44",20,1,4,0,"rectangular",1,17,13.4015256936222,13.433602076532,10.9446255211909
"45",30,1,4,0,"rectangular",1,17,42.5284494311984,36.5607697714396,20.2353533082875
"46",40,1,4,0,"rectangular",1,17,63.1214246460308,44.100497166755,24.8475881641861
"47",50,1,4,0,"rectangular",1,17,50.3997514416209,29.4251770157987,27.586184965378
"48",60,1,4,0,"rectangular",1,17,66.5301021137781,31.0191956811499,23.4113303363111
"49",10,1,4,0,"rectangular",1,19,5.46798111351803,5.46798111351803,2.44174935638203
"50",20,1,4,0,"rectangular",1,19,13.4015256936222,13.4015256936222,11.0296060780454
"51",30,1,4,0,"rectangular",1,19,42.5284494311984,39.4748011416991,22.3909966723289
"52",40,1,4,0,"rectangular",1,19,63.1214246460308,50.2920276200673,27.1628855785607
"53",50,1,4,0,"rectangular",1,19,50.3997514416209,30.8537136853997,27.4387774911435
"54",60,1,4,0,"rectangular",1,19,66.5301021137781,30.7723105447141,24.851853942951
"55",10,1,4,0,"rectangular",1,21,5.46798111351803,5.46798111351803,2.44174935638203
"56",20,1,4,0,"rectangular",1,21,13.4015256936222,13.4015256936222,11.0296060780454
"57",30,1,4,0,"rectangular",1,21,42.5284494311984,40.83111326239,22.6500989176976
"58",40,1,4,0,"rectangular",1,21,63.1214246460308,53.9556831878124,27.776894985735
"59",50,1,4,0,"rectangular",1,21,50.3997514416209,32.9181426408496,27.022927780119
"60",60,1,4,0,"rectangular",1,21,66.5301021137781,31.622690341845,24.7992308181396
"61",10,1,6,0,"rectangular",1,13,10.5628038664139,10.5628038664139,4.93927911699163
"62",20,1,6,0,"rectangular",1,13,19.2467574056436,17.4073338802747,7.81257362021473
"63",30,1,6,0,"rectangular",1,13,35.0063032720119,32.6809444509435,19.4267308792169
"64",40,1,6,0,"rectangular",1,13,49.9088850962429,52.5615801070827,34.1941512443063
"65",50,1,6,0,"rectangular",1,13,84.8017133697137,51.177523131794,26.0320606093122
"66",60,1,6,0,"rectangular",1,13,142.095330285359,45.9672422272733,39.1138293169948
"67",10,1,6,0,"rectangular",1,15,10.5628038664139,10.5628038664139,4.93927911699163
"68",20,1,6,0,"rectangular",1,15,19.2467574056436,18.5058660102013,7.70184147377446
"69",30,1,6,0,"rectangular",1,15,35.0063032720119,25.3020102077147,15.198084030177
"70",40,1,6,0,"rectangular",1,15,49.9088850962429,43.8939055799744,37.3577648880318
"71",50,1,6,0,"rectangular",1,15,84.8017133697137,55.2362885660146,27.4379591548655
"72",60,1,6,0,"rectangular",1,15,142.095330285359,53.2951908812506,49.1210555160095
"73",10,1,6,0,"rectangular",1,17,10.5628038664139,10.5628038664139,4.93927911699163
"74",20,1,6,0,"rectangular",1,17,19.2467574056436,19.1524452886702,7.9628795437307
"75",30,1,6,0,"rectangular",1,17,35.0063032720119,29.0374011889838,15.7579157287973
"76",40,1,6,0,"rectangular",1,17,49.9088850962429,44.4150781702499,39.6607364329981
"77",50,1,6,0,"rectangular",1,17,84.8017133697137,57.716227579242,28.7516210402153
"78",60,1,6,0,"rectangular",1,17,142.095330285359,62.8279302467023,57.697384409493
"79",10,1,6,0,"rectangular",1,19,10.5628038664139,10.5628038664139,4.93927911699163
"80",20,1,6,0,"rectangular",1,19,19.2467574056436,19.2467574056436,8.0086386810006
"81",30,1,6,0,"rectangular",1,19,35.0063032720119,31.7587165197324,15.154639180459
