"","GridSize","alpha","lambda","beta","type","c","l","SpectralNorm","SpectralNormTaper","SpectralNormSepTaper"
"91",30,1,8,0,"rectangular",1,9,42.2259599273688,73.4801419950637,60.084901300149
"92",40,1,8,0,"rectangular",1,9,60.0732973166696,102.464920169631,76.430740089795
"93",10,1,8,0,"rectangular",1,11,14.71640185238,14.71640185238,10.9617709230323
"94",20,1,8,0,"rectangular",1,11,21.2118845047598,28.05241753289,15.7047999790948
"95",30,1,8,0,"rectangular",1,11,42.2259599273688,59.5557805764177,47.4581454393375
"96",40,1,8,0,"rectangular",1,11,60.0732973166696,93.8069763186854,63.158147144893
"97",10,1,10,0,"rectangular",1,1,19.4219127664432,49.0953988412908,44.0678510983183
"98",20,1,10,0,"rectangular",1,1,30.0950330714097,125.247466577838,122.379722038188
"99",30,1,10,0,"rectangular",1,1,45.3121464525491,187.769922859969,186.043363037263
"100",40,1,10,0,"rectangular",1,1,72.9186059168885,233.41793279605,231.804978405131
"101",10,1,10,0,"rectangular",1,3,19.4219127664432,35.4977159340412,19.8730725079966
"102",20,1,10,0,"rectangular",1,3,30.0950330714097,105.789844479502,95.387848913276
"103",30,1,10,0,"rectangular",1,3,45.3121464525491,167.470352992186,160.338216334163
"104",40,1,10,0,"rectangular",1,3,72.9186059168885,209.799829434686,203.152448290052
"105",10,1,10,0,"rectangular",1,5,19.4219127664432,25.197705439235,17.12794235688
"106",20,1,10,0,"rectangular",1,5,30.0950330714097,86.4085822681408,69.0796646806268
"107",30,1,10,0,"rectangular",1,5,45.3121464525491,145.34663740478,131.2954707427
"108",40,1,10,0,"rectangular",1,5,72.9186059168885,184.063758718309,171.47662052903
"109",10,1,10,0,"rectangular",1,7,19.4219127664432,20.3749626003356,13.6848723449212
"110",20,1,10,0,"rectangular",1,7,30.0950330714097,68.0170510796343,46.2221541632477
"111",30,1,10,0,"rectangular",1,7,45.3121464525491,124.466724612679,104.122932853651
"112",40,1,10,0,"rectangular",1,7,72.9186059168885,162.891538850436,144.641811411059
"113",10,1,10,0,"rectangular",1,9,19.4219127664432,19.4219127664432,13.1022202611156
"114",20,1,10,0,"rectangular",1,9,30.0950330714097,52.3156277157962,28.823723351682
"115",30,1,10,0,"rectangular",1,9,45.3121464525491,103.204043854855,79.2208208681681
"116",40,1,10,0,"rectangular",1,9,72.9186059168885,145.504665838284,123.179421191471
"117",10,1,10,0,"rectangular",1,11,19.4219127664432,19.4219127664432,13.1022202611156
"118",20,1,10,0,"rectangular",1,11,30.0950330714097,41.1969996135237,20.2409044216536
"119",30,1,10,0,"rectangular",1,11,45.3121464525491,86.6522305599484,61.4663968878278
"120",40,1,10,0,"rectangular",1,11,72.9186059168885,129.828543107834,105.555889520055
