"","GridSize","alpha","lambda","beta","type","c","l","SpectralNorm","SpectralNormTaper","SpectralNormSepTaper"
"1",10,1,2,0,"rectangular",1,1,4.29024456935057,7.91894037952614,6.37431040660489
"2",20,1,2,0,"rectangular",1,1,9.27303232735526,9.4944385814821,8.29202762255947
"3",30,1,2,0,"rectangular",1,1,26.9941195838395,10.4688960073216,9.80499437319202
"4",40,1,2,0,"rectangular",1,1,25.1581891014971,11.0041366757372,10.6176429539704
"5",10,1,2,0,"rectangular",1,3,4.29024456935057,5.69215180980751,2.6486417534818
"6",20,1,2,0,"rectangular",1,3,9.27303232735526,4.79695206230948,3.5481293269391
"7",30,1,2,0,"rectangular",1,3,26.9941195838395,2.56925175707563,3.14047805548894
"8",40,1,2,0,"rectangular",1,3,25.1581891014971,2.879914820301,2.67416320362312
"9",10,1,2,0,"rectangular",1,5,4.29024456935057,3.3641186535069,2.42030941469971
"10",20,1,2,0,"rectangular",1,5,9.27303232735526,5.80356206678641,3.6442122714672
"11",30,1,2,0,"rectangular",1,5,26.9941195838395,3.93714515494979,3.88902877349028
"12",40,1,2,0,"rectangular",1,5,25.1581891014971,2.73117968540242,2.80624023364131
"13",10,1,2,0,"rectangular",1,7,4.29024456935057,4.16402201205112,2.3041345661088
"14",20,1,2,0,"rectangular",1,7,9.27303232735526,6.03603328640934,4.0355894070565
"15",30,1,2,0,"rectangular",1,7,26.9941195838395,10.4235455416213,7.59137010109767
"16",40,1,2,0,"rectangular",1,7,25.1581891014971,5.39958740257952,3.38552423413562
"17",10,1,2,0,"rectangular",1,9,4.29024456935057,4.29024456935057,2.43554410960536
"18",20,1,2,0,"rectangular",1,9,9.27303232735526,6.4096336521394,4.95256856849704
"19",30,1,2,0,"rectangular",1,9,26.9941195838395,14.5095967487442,9.63272181406128
"20",40,1,2,0,"rectangular",1,9,25.1581891014971,9.10147011862529,3.94251641176317
"21",10,1,2,0,"rectangular",1,11,4.29024456935057,4.29024456935057,2.43554410960536
"22",20,1,2,0,"rectangular",1,11,9.27303232735526,8.25724237454989,5.19194727566501
"23",30,1,2,0,"rectangular",1,11,26.9941195838395,16.4078540514041,9.61503261387376
"24",40,1,2,0,"rectangular",1,11,25.1581891014971,12.5323029163935,4.87081856828335
"25",10,1,4,0,"rectangular",1,1,5.46798111351803,22.2427301453911,20.2343170800194
"26",20,1,4,0,"rectangular",1,1,13.4015256936222,38.093925075343,36.589884130586
"27",30,1,4,0,"rectangular",1,1,42.5284494311984,46.0066902433631,44.3488818769147
"28",40,1,4,0,"rectangular",1,1,63.1214246460308,49.9319468586248,48.3290905876571
"29",10,1,4,0,"rectangular",1,3,5.46798111351803,14.1726076288166,9.31167632629356
"30",20,1,4,0,"rectangular",1,3,13.4015256936222,27.7751965216203,23.2633195013686
"31",30,1,4,0,"rectangular",1,3,42.5284494311984,31.88811067528,26.429406169543
"32",40,1,4,0,"rectangular",1,3,63.1214246460308,33.6506087307083,28.6654036065361
"33",10,1,4,0,"rectangular",1,5,5.46798111351803,7.85114953783887,3.07074312539439
"34",20,1,4,0,"rectangular",1,5,13.4015256936222,23.6141087887182,16.6161156900249
"35",30,1,4,0,"rectangular",1,5,42.5284494311984,22.3766740312242,13.6235398261345
"36",40,1,4,0,"rectangular",1,5,63.1214246460308,22.8989220620941,14.6463018404848
"37",10,1,4,0,"rectangular",1,7,5.46798111351803,5.64985930741372,2.73538054204683
"38",20,1,4,0,"rectangular",1,7,13.4015256936222,19.441548541425,11.0611696178017
"39",30,1,4,0,"rectangular",1,7,42.5284494311984,20.3470076303665,11.110272690605
"40",40,1,4,0,"rectangular",1,7,63.1214246460308,20.4425524805661,12.2219612722997
"41",10,1,4,0,"rectangular",1,9,5.46798111351803,5.46798111351803,2.44174935638203
"42",20,1,4,0,"rectangular",1,9,13.4015256936222,14.067413864427,9.02301996338335
"43",30,1,4,0,"rectangular",1,9,42.5284494311984,21.0759332745621,12.7200890798499
"44",40,1,4,0,"rectangular",1,9,63.1214246460308,21.6749114998181,16.0035891649246
"45",10,1,4,0,"rectangular",1,11,5.46798111351803,5.46798111351803,2.44174935638203
"46",20,1,4,0,"rectangular",1,11,13.4015256936222,11.3745040052416,9.89186276386984
"47",30,1,4,0,"rectangular",1,11,42.5284494311984,21.4039178623511,14.3763465150348
"48",40,1,4,0,"rectangular",1,11,63.1214246460308,24.496521686738,20.2947550447004
"49",10,1,6,0,"rectangular",1,1,10.5628038664139,33.3836762479917,30.3101651539403
"50",20,1,6,0,"rectangular",1,1,19.2467574056436,69.8878381126291,68.3154060510076
"51",30,1,6,0,"rectangular",1,1,35.0063032720119,92.1209706981157,90.499948913363
"52",40,1,6,0,"rectangular",1,1,49.9088850962429,105.292791474663,103.469821765225
"53",10,1,6,0,"rectangular",1,3,10.5628038664139,23.0005839955511,15.2937969132333
"54",20,1,6,0,"rectangular",1,3,19.2467574056436,56.5209680895295,50.9454630712994
"55",30,1,6,0,"rectangular",1,3,35.0063032720119,74.8560153666556,69.0465998068875
"56",40,1,6,0,"rectangular",1,3,49.9088850962429,84.891499147575,78.2595703195687
"57",10,1,6,0,"rectangular",1,5,10.5628038664139,15.2162642491877,7.225881484749
"58",20,1,6,0,"rectangular",1,5,19.2467574056436,45.3404123521274,36.1755161820218
"59",30,1,6,0,"rectangular",1,5,35.0063032720119,62.9207090024728,52.2392726066102
"60",40,1,6,0,"rectangular",1,5,49.9088850962429,67.4464528288851,55.9124791161073
"61",10,1,6,0,"rectangular",1,7,10.5628038664139,11.3856062889347,5.28290305128812
"62",20,1,6,0,"rectangular",1,7,19.2467574056436,32.6049607811879,22.2474472943255
"63",30,1,6,0,"rectangular",1,7,35.0063032720119,56.2934379053514,40.9838053013189
"64",40,1,6,0,"rectangular",1,7,49.9088850962429,60.3970028655173,43.6097571296092
"65",10,1,6,0,"rectangular",1,9,10.5628038664139,10.5628038664139,4.93927911699163
"66",20,1,6,0,"rectangular",1,9,19.2467574056436,23.2634582951603,13.317785682528
"67",30,1,6,0,"rectangular",1,9,35.0063032720119,50.6247146350552,32.6579459549717
"68",40,1,6,0,"rectangular",1,9,49.9088850962429,60.185132338903,37.9871971657399
"69",10,1,6,0,"rectangular",1,11,10.5628038664139,10.5628038664139,4.93927911699163
"70",20,1,6,0,"rectangular",1,11,19.2467574056436,18.2457989152822,8.37301674066729
"71",30,1,6,0,"rectangular",1,11,35.0063032720119,42.561982569776,25.6391416487063
"72",40,1,6,0,"rectangular",1,11,49.9088850962429,58.671037412306,33.157399645095
"73",10,1,8,0,"rectangular",1,1,14.71640185238,42.1622286864542,38.061509078699
"74",20,1,8,0,"rectangular",1,1,21.2118845047598,99.4273818195444,97.2875165091604
"75",30,1,8,0,"rectangular",1,1,42.2259599273688,140.533950832761,138.951094437609
"76",40,1,8,0,"rectangular",1,1,60.0732973166696,168.33237601751,166.599892956858
"77",10,1,8,0,"rectangular",1,3,14.71640185238,28.5133227582214,16.4847061502893
"78",20,1,8,0,"rectangular",1,3,21.2118845047598,82.4108475790842,74.5459351590741
"79",30,1,8,0,"rectangular",1,3,42.2259599273688,120.383543265797,114.397395672759
"80",40,1,8,0,"rectangular",1,3,60.0732973166696,146.165272261954,139.268305741333
"81",10,1,8,0,"rectangular",1,5,14.71640185238,19.2868606796567,13.5510560586773
"82",20,1,8,0,"rectangular",1,5,21.2118845047598,64.2193188968827,50.7733231214296
"83",30,1,8,0,"rectangular",1,5,42.2259599273688,102.292148614006,91.8424805360281
"84",40,1,8,0,"rectangular",1,5,60.0732973166696,125.389962689272,112.288498009863
"85",10,1,8,0,"rectangular",1,7,14.71640185238,15.578676009985,11.454077352419
"86",20,1,8,0,"rectangular",1,7,21.2118845047598,46.2773651381926,29.7468574340667
"87",30,1,8,0,"rectangular",1,7,42.2259599273688,86.9853768477143,74.0802361936558
"88",40,1,8,0,"rectangular",1,7,60.0732973166696,111.560701261204,91.8100344651722
"89",10,1,8,0,"rectangular",1,9,14.71640185238,14.71640185238,10.9617709230323
"90",20,1,8,0,"rectangular",1,9,21.2118845047598,36.2757388441566,18.9063026072778
