"","GridSize","seed","alpha","lambda","beta","type","SpectralNorm","SpectralNormTaper","FrobNorm","FrobNormTaper","SpectralNormSepKron","FrobNormSepKron","L1Selected","L2Selected"
"1",10,1,1,2,0,"rectangular",6.49997288918338,5.84888556469549,10.2430250249152,8.02801845545804,8.44694251297689,12.4834005846427,2,3
"2",10,2,1,2,0,"rectangular",5.30354634503825,6.66409172310173,9.87253531421075,9.29733827752842,4.41977490743149,7.69377033831224,2,2
"3",10,3,1,2,0,"rectangular",4.80640177652898,6.40324543120399,9.98790802543316,8.68728145514489,9.28836112863743,14.0155476457981,2,2
"4",10,4,1,2,0,"rectangular",8.68684011143417,6.73125789170215,13.0824729397133,9.63184664515298,7.43290873995876,10.3657041271022,3,2
"5",10,5,1,2,0,"rectangular",4.09736028651154,3.2559620101111,6.77888350613325,5.17411909174734,3.36653429376689,4.64625688518842,3,3
"6",10,6,1,2,0,"rectangular",8.47163996186309,7.79607161729024,12.568668383272,10.8474059236491,7.40552261159343,10.0170219452664,2,2
"7",10,7,1,2,0,"rectangular",8.40409273337411,6.2378125702331,10.1998931804704,9.3329488666445,28.8986652212849,41.8926102513951,4,5
"8",10,8,1,2,0,"rectangular",9.37128711379086,8.79244206391937,15.6328211264682,12.7643349899233,8.24653334746049,11.3958874973201,2,2
"9",10,9,1,2,0,"rectangular",6.08731010100447,6.93725381351972,12.2566087140187,10.6622567758288,8.80808997255296,12.9368254949522,3,2
"10",10,10,1,2,0,"rectangular",8.33337786837826,7.24939878857265,11.5964337946462,9.8351819274805,8.90704587524856,13.1155255633054,2,2
"11",10,11,1,2,0,"rectangular",6.19000296444987,3.40048630694135,10.7141074689373,5.74972055598714,6.19150509297622,8.40938415314989,3,3
"12",10,12,1,2,0,"rectangular",6.25658861882559,3.90283726613677,8.23476147338546,7.56754850282573,4.8344956900317,8.66624081128891,3,5
"13",10,13,1,2,0,"rectangular",5.16207856124711,4.15096607890469,10.2851704903316,6.81083197722081,5.95800687257604,8.41722723822199,2,3
"14",10,14,1,2,0,"rectangular",7.77133212013868,3.35574232272658,11.8784698040442,7.33467749326519,7.57377555884296,15.5352673840955,4,3
"15",10,15,1,2,0,"rectangular",6.25490874756214,4.56390360476101,9.24636606553787,6.3463022359811,6.60414857497155,8.89827850977252,3,2
"16",10,16,1,2,0,"rectangular",6.72968707621343,6.73936685585037,10.2076330190709,9.66001523912531,7.24201179420473,10.2906401235133,3,2
"17",10,17,1,2,0,"rectangular",5.09835197344232,6.86551571891106,10.4981771459368,9.21529733311998,8.44737683693642,11.8617478191647,2,2
"18",10,18,1,2,0,"rectangular",4.63928005769491,2.07118271555993,9.24533897173541,4.85224674443286,7.75660828913609,17.1351483661698,3,4
"19",10,19,1,2,0,"rectangular",3.23982789974358,2.98959965555385,9.38788578117488,8.58814813404906,6.96216605898179,11.0948220303638,4,3
