"GridSize","seed","alpha","lambda","beta","type","SNorm","SNormTapered","SNormSeparTapered","L1Selected","L2Selected"
10,73,1,4,0,"trapezoid",26.3443620792964,25.5161416362833,25.1399717660126,2,2
10,74,1,4,0,"trapezoid",22.6630442487614,20.481954689531,18.5106294896835,3,7
10,75,1,4,0,"trapezoid",22.9479239707488,20.4790591040792,22.2206115240062,2,4
10,76,1,4,0,"trapezoid",26.7558011805086,26.751337375527,26.6466319860045,5,2
10,77,1,4,0,"trapezoid",23.4401023880409,23.4438758054045,23.3231684929076,2,2
10,78,1,4,0,"trapezoid",24.394502766727,22.189333787219,23.5425154773109,3,2
10,79,1,4,0,"trapezoid",23.8678427082239,21.9971063026018,20.206641930097,3,3
10,80,1,4,0,"trapezoid",25.7312044544241,25.6437265227245,26.2368596971506,2,2
10,81,1,4,0,"trapezoid",25.0893170539571,24.9591098658991,25.7886956386774,2,2
10,82,1,4,0,"trapezoid",26.0784578560524,24.6105620877011,25.5852277573638,2,2
10,83,1,4,0,"trapezoid",26.6099788674436,25.829674444997,26.1156409963203,2,2
10,84,1,4,0,"trapezoid",23.3004283461933,22.076044215226,22.0200200209168,3,3
10,85,1,4,0,"trapezoid",25.0350750282023,23.2255540567624,22.2324858932506,2,3
10,86,1,4,0,"trapezoid",23.7798283556685,22.8025820388536,24.7949827397853,2,3
10,87,1,4,0,"trapezoid",16.43518897281,16.4309531862979,12.913023568349,7,8
10,88,1,4,0,"trapezoid",17.4903757987264,14.1646600952934,8.79315923936689,3,3
10,89,1,4,0,"trapezoid",21.4223682675901,18.9583357910903,16.8378700214082,4,3
10,90,1,4,0,"trapezoid",25.2568710601533,23.5354311210354,24.9253858948087,2,3
10,91,1,4,0,"trapezoid",19.5401700844236,16.2125462988251,12.4779374565851,3,3
10,92,1,4,0,"trapezoid",23.3401454677668,20.2420442974576,19.7186099582357,4,2
10,93,1,4,0,"trapezoid",24.0590304887897,23.5572335374579,23.2467638685332,2,3
10,94,1,4,0,"trapezoid",22.455874796646,19.7742738866097,21.142148754328,2,4
10,95,1,4,0,"trapezoid",22.1880430550217,20.2064739824208,18.6938382853594,2,4
10,96,1,4,0,"trapezoid",17.5102614656238,11.3494559241478,9.37759906345415,6,2
10,97,1,4,0,"trapezoid",18.0183416366957,14.6714278996296,11.6174473331314,3,3
10,98,1,4,0,"trapezoid",25.0271915087447,23.849549135354,24.1516748444796,3,3
10,99,1,4,0,"trapezoid",26.2514476200813,25.4568051015288,25.9965319278485,1,3
10,100,1,4,0,"trapezoid",26.7880754889273,26.4560488351965,26.8088605489919,1,2
10,1,1,6,0,"trapezoid",37.1426016519608,35.3754918305247,37.0926929786009,2,5
10,2,1,6,0,"trapezoid",34.3801647799557,33.3434329178579,33.7232284596293,3,4
10,3,1,6,0,"trapezoid",38.5999030291793,38.4452171625484,38.647940935876,3,2
10,4,1,6,0,"trapezoid",36.3363396539999,35.6341555021017,36.7145746600497,2,4
10,5,1,6,0,"trapezoid",32.5258309629236,29.8907905281739,30.5703403338983,3,4
10,6,1,6,0,"trapezoid",36.4818217962866,35.5902195432719,36.0338641521468,3,3
10,7,1,6,0,"trapezoid",35.0774432069928,33.9348946569826,33.8378632509659,3,3
10,8,1,6,0,"trapezoid",37.2379222660922,36.6328643587518,37.3740954259784,2,3
10,9,1,6,0,"trapezoid",37.5845386734611,36.9457077144644,38.0496378467377,2,3
10,10,1,6,0,"trapezoid",35.6415261021129,34.9127570010551,36.4777741492556,3,4
10,11,1,6,0,"trapezoid",34.3385234556379,33.0290758002349,34.1612244180626,3,3
10,12,1,6,0,"trapezoid",32.9082602092914,30.2297009145175,32.6267785451339,3,5
10,13,1,6,0,"trapezoid",33.3122078942136,31.4169456886685,33.2164846806686,3,5
10,14,1,6,0,"trapezoid",26.2976293599878,26.2180896154571,19.476176158893,6,7
10,15,1,6,0,"trapezoid",32.7589722139765,31.0749754038771,32.730080613294,3,4
10,16,1,6,0,"trapezoid",36.4097021668709,35.3590609301811,36.0861320102318,3,3
10,17,1,6,0,"trapezoid",38.5751729113243,38.2260649996519,38.4154028645381,2,3
10,18,1,6,0,"trapezoid",28.6057434345432,24.0875693340053,19.4669618137895,3,5
10,19,1,6,0,"trapezoid",38.2160002582002,37.4128908241159,38.5188649164037,3,2
10,20,1,6,0,"trapezoid",31.8080433502798,29.3840883383238,28.7001619696112,2,6
10,21,1,6,0,"trapezoid",32.3744606663558,29.8709637117748,28.6502152538328,5,3
10,22,1,6,0,"trapezoid",26.6543364134765,26.6102981652988,23.6185780731881,6,8
10,23,1,6,0,"trapezoid",36.450262898076,33.6650754414238,36.0008544206493,2,5
10,24,1,6,0,"trapezoid",37.9772794493849,37.1858305119729,38.363483298681,4,2
10,25,1,6,0,"trapezoid",34.4552390326965,31.8101158491718,33.146744790269,5,3
10,26,1,6,0,"trapezoid",36.0257181890954,35.098165406185,36.1051850861169,3,4
10,27,1,6,0,"trapezoid",34.3811102056085,30.7682306328534,31.3501417221486,2,5
10,28,1,6,0,"trapezoid",35.4645665919464,34.2213358774982,35.3347812929512,3,3
10,29,1,6,0,"trapezoid",35.2018746439937,33.8131256486539,34.5995008267152,3,3
10,30,1,6,0,"trapezoid",36.5974669900232,34.3769259034864,34.5192688536067,3,3
10,31,1,6,0,"trapezoid",34.1530740554494,32.6401741377038,33.9229131324325,3,4
10,32,1,6,0,"trapezoid",35.8113038731637,35.8325546000591,37.8588704508228,8,6
10,33,1,6,0,"trapezoid",36.4776992384393,34.5974963530636,36.4658122977961,5,2
10,34,1,6,0,"trapezoid",35.4526127004854,33.9139523371879,36.0796477106567,3,6
10,35,1,6,0,"trapezoid",37.5752475017151,33.9387316820449,34.9532695626325,5,2
10,36,1,6,0,"trapezoid",36.1341669387235,34.90060123473,35.61731417083,6,3
10,37,1,6,0,"trapezoid",38.0746090271521,37.7960651615621,38.2346484353813,2,3
10,38,1,6,0,"trapezoid",35.5494688814454,33.7560206615541,36.0399824197278,3,3
10,39,1,6,0,"trapezoid",35.9398902802732,34.7353244932693,37.0705561417281,6,3
10,40,1,6,0,"trapezoid",36.6901475366506,36.1855747388397,36.761332746549,3,2
10,41,1,6,0,"trapezoid",36.2383295553164,35.326962849234,35.6152260117695,2,5
10,42,1,6,0,"trapezoid",38.160371739102,37.5420627173464,37.8159275188012,2,2
10,43,1,6,0,"trapezoid",34.1770592983362,31.9157702692006,34.3834511619596,4,2
10,44,1,6,0,"trapezoid",32.5982196759222,31.2390376261713,30.4150071145168,4,4
10,45,1,6,0,"trapezoid",37.5596778679609,37.3183432278216,37.3083853005038,3,4
10,46,1,6,0,"trapezoid",37.1076861459073,35.4935006414986,36.7032481606946,2,4
10,47,1,6,0,"trapezoid",37.7719279239415,37.2614059878644,38.2355982182185,2,2
10,48,1,6,0,"trapezoid",25.1596393628229,20.2339149444684,14.8467749378419,4,3
10,49,1,6,0,"trapezoid",32.7290577780227,32.0659233026946,32.4276627787193,5,2
10,50,1,6,0,"trapezoid",37.1065394230333,35.2078050194838,37.095113452747,6,2
10,51,1,6,0,"trapezoid",36.9735519977537,36.1580284802662,36.193353293449,3,3
10,52,1,6,0,"trapezoid",34.9463322507701,33.9863755306379,34.1785773060547,4,3
10,53,1,6,0,"trapezoid",34.558352056042,32.9822364600126,33.9139487234296,3,5
10,54,1,6,0,"trapezoid",37.9010654475472,36.6200187810619,37.4346188309067,2,4
10,55,1,6,0,"trapezoid",32.8064247740832,31.4397282504558,32.4938551059118,4,4
10,56,1,6,0,"trapezoid",37.9021824943384,37.2849491214273,38.461295619351,3,3
10,57,1,6,0,"trapezoid",31.9796974989096,29.1911746429982,25.4958359366113,3,4
10,58,1,6,0,"trapezoid",36.4724267159883,35.3714781633653,36.9058789258486,2,3
10,59,1,6,0,"trapezoid",34.4015573621625,31.8609805736191,30.2849366373015,3,3
10,60,1,6,0,"trapezoid",36.7807006735254,35.1051002277004,36.6869543492325,3,2
10,61,1,6,0,"trapezoid",33.2099856132132,32.0092098818177,32.7755697769976,5,4
10,62,1,6,0,"trapezoid",34.39948859572,32.9244360570082,33.1343645026213,4,3
10,63,1,6,0,"trapezoid",31.931070620655,28.9810031152758,29.0102823333616,3,5
10,64,1,6,0,"trapezoid",30.4337976186164,28.273951397807,24.6465369628999,5,4
10,65,1,6,0,"trapezoid",36.5158448615044,35.2559628082333,35.8850228818006,4,2
10,66,1,6,0,"trapezoid",38.3060437933781,37.8992523557778,38.4400578511656,3,3
10,67,1,6,0,"trapezoid",36.5872000844762,35.6302143842832,36.7200122683732,4,2
10,68,1,6,0,"trapezoid",38.5150707293528,37.9963357111904,38.6460715763217,3,2
10,69,1,6,0,"trapezoid",37.9020706238122,37.325945701508,37.5562635751792,3,3
10,70,1,6,0,"trapezoid",36.7017639596108,36.2573428673979,38.0668340473482,4,2
10,71,1,6,0,"trapezoid",37.9127462800508,37.720617077531,38.3373848188848,4,2
10,72,1,6,0,"trapezoid",36.5917366928282,36.2953679319506,37.7674784591773,2,3
10,73,1,6,0,"trapezoid",38.5030149173428,38.0972488570773,37.8159138186115,2,4
10,74,1,6,0,"trapezoid",34.7284095254466,33.4805776659666,33.0858324703725,3,3
10,75,1,6,0,"trapezoid",34.1447164423225,33.0728401776327,33.4156607295015,4,4
10,76,1,6,0,"trapezoid",38.8689437124239,38.6407806981419,38.8697523691154,2,2
10,77,1,6,0,"trapezoid",35.8115029928479,34.7004678100852,35.8575617375875,3,3
10,78,1,6,0,"trapezoid",36.0248689037602,34.9029290896581,35.5460348658862,3,3
10,79,1,6,0,"trapezoid",37.0308688962643,35.0926096298861,36.0912117814132,2,3
10,80,1,6,0,"trapezoid",37.8180667085404,37.6496770804058,38.5656415908145,3,2
10,81,1,6,0,"trapezoid",37.1863711029072,36.6521678258221,37.9129702556225,3,3
10,82,1,6,0,"trapezoid",38.3770042740706,38.1693606116768,37.9262984162182,3,5
10,83,1,6,0,"trapezoid",37.8876756420763,36.3179709031282,36.8862055053047,3,2
10,84,1,6,0,"trapezoid",35.3172519702394,33.3221440444363,35.0413102994859,2,5
10,85,1,6,0,"trapezoid",37.0192617633378,36.0428493015222,36.1226256762803,3,2
10,86,1,6,0,"trapezoid",36.035131528643,35.319828158504,37.4339392217915,3,3
10,87,1,6,0,"trapezoid",27.0417818828827,26.6487674845985,21.2607662130473,6,6
10,88,1,6,0,"trapezoid",28.1375953830734,25.5089534782637,20.4192667198199,5,3
10,89,1,6,0,"trapezoid",31.9903739695997,27.8974738228239,26.3063923641732,6,2
10,90,1,6,0,"trapezoid",37.254634811144,36.8968167696025,37.6376876210515,4,2
10,91,1,6,0,"trapezoid",31.6951240954158,29.0059210026438,26.962169837305,3,3
10,92,1,6,0,"trapezoid",36.5875347612477,34.7418548971113,36.3567486947204,2,4
10,93,1,6,0,"trapezoid",36.8164844994807,33.4774410647471,34.9215452352501,2,5
10,94,1,6,0,"trapezoid",34.0421037428676,32.7845307263415,32.3954087522461,4,3
10,95,1,6,0,"trapezoid",33.5081205390497,32.190700635151,30.5618871106674,3,3
10,96,1,6,0,"trapezoid",29.0517735589574,26.2162788536719,21.9823929508182,4,3
10,97,1,6,0,"trapezoid",29.5792076808678,26.5843876217835,24.9181775381848,4,3
10,98,1,6,0,"trapezoid",37.257680769381,36.3689568538351,37.1672828997994,3,3
10,99,1,6,0,"trapezoid",38.5395175138103,38.3404982880734,38.314740669379,4,2
10,100,1,6,0,"trapezoid",38.8838742122806,38.793299645432,38.9975853544627,3,1
20,1,1,2,0,"trapezoid",11.7532237727807,8.27671257190813,9.44690501356537,3,3
20,2,1,2,0,"trapezoid",8.97381422294416,6.79836425282593,2.79904443520689,3,3
20,3,1,2,0,"trapezoid",12.3771124790549,10.141973901574,10.1212892235614,3,4
20,4,1,2,0,"trapezoid",13.4289686359559,12.3347767988211,8.12793350097489,5,7
20,5,1,2,0,"trapezoid",8.59277248158162,5.83706901431451,4.13416230419042,3,4
20,6,1,2,0,"trapezoid",10.79409722885,7.73305582943974,4.98214611656065,4,3
