"","GridSize","alpha","lambda","beta","type","c","l","SpectralNorm","SpectralNormTaper","FrobNorm","FrobNormTaper"
"1",10,1,2,0,"rectangular",1,4,4.29024456935057,3.87296748027536,9.88877644456287,7.94807216121007
"2",20,1,2,0,"rectangular",1,4,9.27303232735526,5.42962653147274,24.8450234581101,14.370447459046
"3",30,1,2,0,"rectangular",1,4,26.9941195838395,2.43543253412234,52.4766018990223,14.0664520505816
"4",40,1,2,0,"rectangular",1,4,25.1581891014971,2.60153699005519,64.9888298157502,18.1060226995944
"5",10,1,3,0,"rectangular",1,4,3.90309749631038,6.90370278135531,9.65061076377635,10.1563647828322
"6",20,1,3,0,"rectangular",1,4,13.6469212119052,13.6303649720618,33.21075767449,22.6198752688276
"7",30,1,3,0,"rectangular",1,4,27.1786194749622,11.720734850381,59.7384408769358,30.7794201179568
"8",40,1,3,0,"rectangular",1,4,30.1746332800625,10.3616964584163,76.3499203601096,35.7384778791985
"9",10,1,4,0,"rectangular",1,4,5.46798111351803,10.4803681028527,9.61725129763099,13.188818885496
"10",20,1,4,0,"rectangular",1,4,13.4015256936222,25.2416650848827,32.8991124294662,35.7174162213555
"11",30,1,4,0,"rectangular",1,4,42.5284494311984,25.9474805384628,80.0430250835226,48.1578886212993
"12",40,1,4,0,"rectangular",1,4,63.1214246460308,27.1332070889187,114.367682841653,66.2750676046438
"13",10,1,5,0,"rectangular",1,4,8.09260880244346,14.1890266305308,11.1803087414881,16.8484400493158
"14",20,1,5,0,"rectangular",1,4,13.7411509898816,36.5017833897599,31.6185065548754,46.5245945902801
"15",30,1,5,0,"rectangular",1,4,37.7303759294301,45.1001393077809,77.1728780607314,73.2561970615129
"16",40,1,5,0,"rectangular",1,4,69.1761600539725,49.3734426936458,125.519897288381,98.8111274212642
"17",10,1,2,1,"rectangular",1,4,4.53877968610678,3.08459980297223,8.63989758154215,6.96734707665498
"18",20,1,2,1,"rectangular",1,4,10.6078488383959,2.4948764456084,19.1267507010256,9.07355700603657
"19",30,1,2,1,"rectangular",1,4,6.93741929681463,1.13362188485836,25.3531250432295,8.88115525411814
"20",40,1,2,1,"rectangular",1,4,6.18782394184753,1.13700666814216,32.3631244350342,10.783315313758
"21",10,1,3,1,"rectangular",1,4,4.27390871534084,3.52407489181758,9.99244746709938,9.23318887087533
"22",20,1,3,1,"rectangular",1,4,6.69951944839628,2.87874572165108,19.1260209650808,10.207878303732
"23",30,1,3,1,"rectangular",1,4,11.7684851829729,1.74953064875416,29.7516953150444,12.3144977275111
"24",40,1,3,1,"rectangular",1,4,18.6229612443631,0.926257701563741,48.694664558258,10.124130943357
"25",10,1,4,1,"rectangular",1,4,4.11910426116408,3.49115980267744,9.91616592266352,9.05007262909702
"26",20,1,4,1,"rectangular",1,4,7.79627822320159,2.19766237281209,20.5799131240065,9.0217992634386
"27",30,1,4,1,"rectangular",1,4,19.5028887434374,3.39493820799255,42.7907374866998,17.9752707047097
"28",40,1,4,1,"rectangular",1,4,12.1642594917331,2.21224920122284,42.1815096178173,16.5966510801165
"29",10,1,5,1,"rectangular",1,4,3.32724975287547,2.80371535325419,8.63354159449502,7.27031602338462
"30",20,1,5,1,"rectangular",1,4,12.0321693471991,3.3953543642077,23.7854401309334,13.713241377909
"31",30,1,5,1,"rectangular",1,4,21.2205068089758,2.95021507290982,42.2136008498356,16.8918807354623
"32",40,1,5,1,"rectangular",1,4,31.5109648125755,2.42191393649662,65.8584690484344,17.8640274411898
"33",10,1,2,0,"rectangular",1,5,4.29024456935057,3.3641186535069,9.88877644456287,9.07154742323989
"34",20,1,2,0,"rectangular",1,5,9.27303232735526,5.80356206678641,24.8450234581101,15.1768722148237
"35",30,1,2,0,"rectangular",1,5,26.9941195838395,3.93714515494979,52.4766018990223,18.8651523064489
"36",40,1,2,0,"rectangular",1,5,25.1581891014971,2.73117968540242,64.9888298157502,16.9440842892372
"37",10,1,3,0,"rectangular",1,5,3.90309749631038,5.13872373174543,9.65061076377635,9.81198359935276
"38",20,1,3,0,"rectangular",1,5,13.6469212119052,14.2962783172129,33.21075767449,23.8372274974153
"39",30,1,3,0,"rectangular",1,5,27.1786194749622,10.6574042788083,59.7384408769358,32.6226196552489
"40",40,1,3,0,"rectangular",1,5,30.1746332800625,7.79361183750887,76.3499203601096,27.8799432745746
"41",10,1,4,0,"rectangular",1,5,5.46798111351803,7.85114953783887,9.61725129763099,11.181547854298
"42",20,1,4,0,"rectangular",1,5,13.4015256936222,23.6141087887182,32.8991124294662,33.4199576261811
"43",30,1,4,0,"rectangular",1,5,42.5284494311984,22.3766740312242,80.0430250835226,41.0596993899169
"44",40,1,4,0,"rectangular",1,5,63.1214246460308,22.8989220620941,114.367682841653,55.2058402766094
"45",10,1,5,0,"rectangular",1,5,8.09260880244346,11.2975945064382,11.1803087414881,14.1162330919024
"46",20,1,5,0,"rectangular",1,5,13.7411509898816,32.6158900924062,31.6185065548754,40.6479226268404
"47",30,1,5,0,"rectangular",1,5,37.7303759294301,39.934589577753,77.1728780607314,64.8758911148928
"48",40,1,5,0,"rectangular",1,5,69.1761600539725,42.6681892298563,125.519897288381,82.9030173441561
"49",10,1,2,1,"rectangular",1,5,4.53877968610678,3.68236120493911,8.63989758154215,7.62175189656698
"50",20,1,2,1,"rectangular",1,5,10.6078488383959,3.69130822718096,19.1267507010256,11.0957660736518
"51",30,1,2,1,"rectangular",1,5,6.93741929681463,1.63537053203168,25.3531250432295,10.6755650945537
"52",40,1,2,1,"rectangular",1,5,6.18782394184753,1.83445071300089,32.3631244350342,12.8703942476433
"53",10,1,3,1,"rectangular",1,5,4.27390871534084,4.00755372306028,9.99244746709938,9.7542895813149
"54",20,1,3,1,"rectangular",1,5,6.69951944839628,3.79341450521372,19.1260209650808,13.1361066908146
"55",30,1,3,1,"rectangular",1,5,11.7684851829729,2.42523643439859,29.7516953150444,13.5399768671339
"56",40,1,3,1,"rectangular",1,5,18.6229612443631,1.58828773541477,48.694664558258,12.5799514337341
"57",10,1,4,1,"rectangular",1,5,4.11910426116408,3.92389546369209,9.91616592266352,9.46224556476039
"58",20,1,4,1,"rectangular",1,5,7.79627822320159,2.47516928998185,20.5799131240065,10.6136076529151
"59",30,1,4,1,"rectangular",1,5,19.5028887434374,4.248838976699,42.7907374866998,20.0317648264163
"60",40,1,4,1,"rectangular",1,5,12.1642594917331,2.54762299208952,42.1815096178173,17.8827226039436
"61",10,1,5,1,"rectangular",1,5,3.32724975287547,3.05420542747523,8.63354159449502,7.95966784140874
"62",20,1,5,1,"rectangular",1,5,12.0321693471991,4.358152768307,23.7854401309334,15.1318344648979
"63",30,1,5,1,"rectangular",1,5,21.2205068089758,3.94022987797689,42.2136008498356,18.9695756269979
"64",40,1,5,1,"rectangular",1,5,31.5109648125755,2.37987017186514,65.8584690484344,18.9595671751363
