"","GridSize","alpha","lambda","beta","type","c","l","SpectralNorm","SpectralNormTaper","SpectralNormSepTaper"
"1",50,1,2,0,"rectangular",1,1,31.1837577113683,11.2558061231946,11.0954022442967
"2",60,1,2,0,"rectangular",1,1,30.1492412037547,11.4741255699353,11.3998033431971
"3",50,1,2,0,"rectangular",1,3,31.1837577113683,3.21361949434067,3.6561813765932
"4",60,1,2,0,"rectangular",1,3,30.1492412037547,3.78643505355279,4.28354500861447
"5",50,1,2,0,"rectangular",1,5,31.1837577113683,2.55142283895294,1.86912810568989
"6",60,1,2,0,"rectangular",1,5,30.1492412037547,2.52202295071321,1.32377010990936
"7",50,1,2,0,"rectangular",1,7,31.1837577113683,4.35862386081841,2.71170816148403
"8",60,1,2,0,"rectangular",1,7,30.1492412037547,4.18736057330676,1.80738234845402
"9",50,1,2,0,"rectangular",1,9,31.1837577113683,7.5079600273811,4.11849383440664
"10",60,1,2,0,"rectangular",1,9,30.1492412037547,6.31263619601292,3.00915904875107
"11",50,1,2,0,"rectangular",1,11,31.1837577113683,11.5021694683321,5.55004421185107
"12",60,1,2,0,"rectangular",1,11,30.1492412037547,9.73323590876404,4.38442922787773
"13",50,1,4,0,"rectangular",1,1,50.3997514416209,52.3962305550529,51.0607374326047
"14",60,1,4,0,"rectangular",1,1,66.5301021137781,53.8926073352771,52.8367609460397
"15",50,1,4,0,"rectangular",1,3,50.3997514416209,35.6864765272288,31.4467080760086
"16",60,1,4,0,"rectangular",1,3,66.5301021137781,37.1162647646856,33.7812179289885
"17",50,1,4,0,"rectangular",1,5,50.3997514416209,20.8748861060364,13.9909895558458
"18",60,1,4,0,"rectangular",1,5,66.5301021137781,20.2645219044959,15.1969706107729
"19",50,1,4,0,"rectangular",1,7,50.3997514416209,12.2846086804936,12.830688921278
"20",60,1,4,0,"rectangular",1,7,66.5301021137781,9.56968099048952,12.4851629839275
"21",50,1,4,0,"rectangular",1,9,50.3997514416209,15.1175583720634,14.1165201524843
"22",60,1,4,0,"rectangular",1,9,66.5301021137781,9.50321352411404,12.4157176193809
"23",50,1,4,0,"rectangular",1,11,50.3997514416209,21.2336811926221,18.7955213134772
"24",60,1,4,0,"rectangular",1,11,66.5301021137781,11.5223479207076,12.9202625527178
"25",50,1,6,0,"rectangular",1,1,84.8017133697137,113.773091335188,111.856597431262
"26",60,1,6,0,"rectangular",1,1,142.095330285359,119.373128029126,117.561521629283
"27",50,1,6,0,"rectangular",1,3,84.8017133697137,92.0464606663105,84.8491838561236
"28",60,1,6,0,"rectangular",1,3,142.095330285359,97.8331748703274,90.8824841528117
"29",50,1,6,0,"rectangular",1,5,84.8017133697137,69.2606589610602,56.650994589055
"30",60,1,6,0,"rectangular",1,5,142.095330285359,73.7778756846124,61.2741901144305
"31",50,1,6,0,"rectangular",1,7,84.8017133697137,53.796369359534,36.3831947758225
"32",60,1,6,0,"rectangular",1,7,142.095330285359,54.2894134487307,36.2321040265169
"33",50,1,6,0,"rectangular",1,9,84.8017133697137,47.0722466084994,25.7540412849539
"34",60,1,6,0,"rectangular",1,9,142.095330285359,43.5347256306655,28.481366770124
"35",50,1,6,0,"rectangular",1,11,84.8017133697137,47.4701600321198,25.1120775032654
"36",60,1,6,0,"rectangular",1,11,142.095330285359,41.6209139311036,30.9569663170459
"37",50,1,8,0,"rectangular",1,1,77.5879192576253,187.255388708397,185.374310955821
"38",60,1,8,0,"rectangular",1,1,99.780281246247,200.424720241202,198.424302514011
"39",50,1,8,0,"rectangular",1,3,77.5879192576253,163.941113729221,156.34473296641
"40",60,1,8,0,"rectangular",1,3,99.780281246247,175.701710944341,167.371266385695
"41",50,1,8,0,"rectangular",1,5,77.5879192576253,137.773176478991,123.834319437491
"42",60,1,8,0,"rectangular",1,5,99.780281246247,146.139198935668,130.25364516081
"43",50,1,8,0,"rectangular",1,7,77.5879192576253,117.247586509665,97.4599019612678
"44",60,1,8,0,"rectangular",1,7,99.780281246247,120.069975516537,96.8862917791524
"45",50,1,8,0,"rectangular",1,9,77.5879192576253,104.167388797759,78.9396155747978
"46",60,1,8,0,"rectangular",1,9,99.780281246247,100.223449375332,70.2710166196133
"47",50,1,8,0,"rectangular",1,11,77.5879192576253,96.3573965603006,66.5928883048935
"48",60,1,8,0,"rectangular",1,11,99.780281246247,88.2588101553302,52.6373603481095
"49",50,1,10,0,"rectangular",1,1,94.8174263556274,266.657487140051,264.85178282138
"50",60,1,10,0,"rectangular",1,1,181.484345242818,291.040028498127,289.10879738213
"51",50,1,10,0,"rectangular",1,3,94.8174263556274,242.054389319895,234.380101832336
"52",60,1,10,0,"rectangular",1,3,181.484345242818,264.499734041769,256.201242223808
"53",50,1,10,0,"rectangular",1,5,94.8174263556274,213.518630622062,198.460300251466
"54",60,1,10,0,"rectangular",1,5,181.484345242818,231.365996653053,215.368443892242
"55",50,1,10,0,"rectangular",1,7,94.8174263556274,188.832969047867,166.121122508832
"56",60,1,10,0,"rectangular",1,7,181.484345242818,200.351583609392,176.966641441692
"57",50,1,10,0,"rectangular",1,9,94.8174263556274,170.695279346787,140.869260691593
"58",60,1,10,0,"rectangular",1,9,181.484345242818,177.299734787091,147.16835063862
"59",50,1,10,0,"rectangular",1,11,94.8174263556274,158.766337509706,122.973645391377
"60",60,1,10,0,"rectangular",1,11,181.484345242818,162.774805050348,126.967217936036
