"GridSize","seed","l","alpha","lambda","beta","type","c","SNorm","SNormTapered","SNormSeparTapered"
10,1,1,1,2,0,"trapezoid",2,9.58124022733362,9.25865913760014,9.89940482685178
10,2,1,1,2,0,"trapezoid",2,8.0787675323414,8.12933096608526,7.66324310285145
10,3,1,1,2,0,"trapezoid",2,10.9845715631497,9.93051682263737,10.5736634820633
10,4,1,1,2,0,"trapezoid",2,9.67968149894096,8.55859967173179,9.11651284592468
10,5,1,1,2,0,"trapezoid",2,6.54363292066148,7.55102374825141,7.56007577195797
10,6,1,1,2,0,"trapezoid",2,9.06100278020477,8.61225647884136,8.67705731548009
10,7,1,1,2,0,"trapezoid",2,7.82078631311624,7.15075978998065,6.81959202811272
10,8,1,1,2,0,"trapezoid",2,9.56414946004461,8.76327817758353,8.88053663839245
10,9,1,1,2,0,"trapezoid",2,10.3764759773729,9.32780429761463,9.93008434121835
10,10,1,1,2,0,"trapezoid",2,9.17306629659987,9.20887261593859,9.7559113772666
10,11,1,1,2,0,"trapezoid",2,8.24122355146533,7.98098749253231,8.72021579743808
10,12,1,1,2,0,"trapezoid",2,7.279601040093,8.4027324362601,9.42447552354028
10,13,1,1,2,0,"trapezoid",2,7.90733078471415,8.27223014205365,8.89247399108924
10,14,1,1,2,0,"trapezoid",2,10.7170644609888,5.45403052867926,4.4855956699274
10,15,1,1,2,0,"trapezoid",2,7.37206862459675,8.01741371071487,8.66053714680267
10,16,1,1,2,0,"trapezoid",2,9.12386569252956,9.11032638502442,9.37873582467586
10,17,1,1,2,0,"trapezoid",2,10.7364426638304,9.55871584557287,9.94387426179697
10,18,1,1,2,0,"trapezoid",2,7.70851174324652,6.27372885117912,4.59047034242467
10,19,1,1,2,0,"trapezoid",2,10.6351457616415,10.2595645289162,10.4384428340043
10,20,1,1,2,0,"trapezoid",2,7.49457107227089,6.72963678419388,6.29305737224216
10,21,1,1,2,0,"trapezoid",2,6.90589054656886,7.10666463396226,6.70901722809989
10,22,1,1,2,0,"trapezoid",2,9.1381985977227,6.21136961087975,5.46569898725027
10,23,1,1,2,0,"trapezoid",2,9.52949914946814,8.42543494521099,9.21809473863413
10,24,1,1,2,0,"trapezoid",2,10.3967514000244,10.0831714012698,10.5356416110404
10,25,1,1,2,0,"trapezoid",2,8.15779367836021,8.3670224197372,8.57205953658281
10,26,1,1,2,0,"trapezoid",2,9.44921491992777,9.02305577016794,9.32963380261725
10,27,1,1,2,0,"trapezoid",2,8.52835033069275,7.31303378312186,6.5326999129982
10,28,1,1,2,0,"trapezoid",2,7.86253444380698,7.87311990306857,7.86690765566997
10,29,1,1,2,0,"trapezoid",2,8.9153263143366,7.65644172925725,7.78991948317129
10,30,1,1,2,0,"trapezoid",2,9.73462389716168,7.84146088058419,7.65037154740932
10,31,1,1,2,0,"trapezoid",2,7.60525728484602,8.40960001350837,8.9203041266933
